Supplier,File_Month,Origin_Country,Origin_City,Dest_Country,Destination,Container,Incoterms,Mode,O_Curr,O_Cost_NonHaz,O_Cost_Haz,Sea_Curr,Sea_Base,Sea_IMO,D_Curr,D_Cost_NonHaz,D_Cost_Haz,Transit_Days,Validity_Internal,Carrier,Comments
supplier1,202512,France,Huningue,Egypt,Alexandria/El Dekheila,20DC,CPT,Barge,EUR,469,333,EUR,192,32,0,0,0,15,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Egypt,Alexandria/El Dekheila,20DC,CPT,Road,EUR,468,1484,EUR,24,51,0,0,0,15,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Egypt,Alexandria/El Dekheila,20DC,CPT,Rail,EUR,235,981,EUR,1,1,0,0,0,15,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Egypt,Alexandria/El Dekheila,40DC/40HC,CPT,Barge,EUR,578,1041,EUR,62,55,0,0,0,15,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Egypt,Alexandria/El Dekheila,40DC/40HC,CPT,Road,EUR,609,881,EUR,279,70,0,0,0,15,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Egypt,Alexandria/El Dekheila,40DC/40HC,CPT,Rail,EUR,567,1292,EUR,139,48,0,0,0,15,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Mexico,Altamira,20DC,CPT,Barge,EUR,10,349,USD,55,64,0,0,0,17,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,Mexico,Altamira,20DC,CPT,Road,EUR,1017,1165,USD,660,97,0,0,0,17,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,Mexico,Altamira,20DC,CPT,Rail,EUR,620,54,USD,421,63,0,0,0,17,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,Mexico,Altamira,40DC/40HC,CPT,Barge,EUR,332,601,USD,957,42,0,0,0,17,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,Mexico,Altamira,40DC/40HC,CPT,Road,EUR,1473,1592,USD,44,69,0,0,0,17,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,Mexico,Altamira,40DC/40HC,CPT,Rail,EUR,324,822,USD,973,23,0,0,0,17,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,Belgium,Antwerp,20DC,FOB,Barge,EUR,304,4,0,0,0,0,0,0,0,0,0,charges from booking agent as per outlay; +EUR 300.00 if night stop required
